expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.837111,-,-,0.838766,-,-,-
TW combined counts,0.843127,0.00601599999999991,0.006049,0.87111,0.03234400000000004,0.009458,True
TW item counts,0.844543,0.007431999999999994,0.005148,0.871583,0.032816999999999985,0.009154,True
month OH,0.83655,-0.0005610000000000337,0.005574,0.838068,-0.0006979999999999764,0.006816,False
TW skill counts,0.83774,0.0006289999999999907,0.006468,0.843552,0.004785999999999957,0.006502,True
bundle,0.837061,-4.999999999999449e-05,0.005949,0.8389,0.00013399999999996748,0.006871,False
day OH,0.837636,0.0005249999999999977,0.00615,0.838407,-0.0003589999999999982,0.006802,False
RPFA Combined,0.83622,-0.0008910000000000862,0.005709,0.839563,0.0007969999999999366,0.006578,True
PPE Count,0.837262,0.0001509999999999012,0.004533,0.839401,0.0006349999999999412,0.006417,True
part of day OH,0.83746,0.0003489999999999327,0.005275,0.838616,-0.00014999999999998348,0.007082,False
user average correct,0.836934,-0.00017700000000009375,0.005877,0.83913,0.00036400000000003097,0.007034,False
item counts,0.843136,0.006024999999999947,0.004845,0.865981,0.02721499999999999,0.008756,True
RPFA Failure,0.835854,-0.0012570000000000636,0.005742,0.839555,0.0007890000000000397,0.006727,True
week OH,0.837268,0.00015699999999996272,0.006096,0.836576,-0.0021900000000000253,0.006037,False
course,0.837,-0.00011100000000008325,0.005831,0.838777,1.0999999999983245e-05,0.00718,False
RPFA Ratio,0.836121,-0.0009900000000000464,0.005826,0.838635,-0.00013099999999999223,0.006947,False
TW total counts,0.836273,-0.0008380000000000054,0.006149,0.842395,0.0036289999999999933,0.0076,True
response pattern,0.835352,-0.001759000000000066,0.003932,0.835395,-0.003371000000000013,0.00607,False
hour OH,0.837347,0.00023599999999990295,0.005357,0.83738,-0.0013859999999999983,0.006722,False
weekend OH,0.837056,-5.500000000002725e-05,0.00599,0.838748,-1.799999999996249e-05,0.007174,False
