expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.86023,-,-,0.809854,-,-,-
course,0.860274,4.399999999993298e-05,0.005538,0.809859,5.000000000032756e-06,0.007707,False
TW combined counts,0.86505,0.0048199999999999354,0.005865,0.84306,0.03320600000000007,0.007679,True
TW total counts,0.860215,-1.5000000000098268e-05,0.00586,0.816014,0.006160000000000054,0.008494,True
bundle,0.860177,-5.300000000008076e-05,0.005602,0.809859,5.000000000032756e-06,0.007519,False
weekend OH,0.860212,-1.8000000000073513e-05,0.005622,0.809874,2.0000000000020002e-05,0.007741,False
day OH,0.860176,-5.3999999999998494e-05,0.005716,0.809711,-0.00014300000000000423,0.007921,False
week OH,0.860201,-2.9000000000056758e-05,0.005553,0.808618,-0.0012360000000000149,0.007671,False
part of day OH,0.860177,-5.300000000008076e-05,0.005552,0.809902,4.8000000000048004e-05,0.007578,False
user average correct,0.860161,-6.900000000009676e-05,0.00563,0.809705,-0.00014899999999995472,0.007811,False
response pattern,0.859641,-0.0005890000000000617,0.006149,0.812752,0.002898000000000067,0.006657,True
TW item counts,0.865602,0.005371999999999932,0.005407,0.842553,0.032699000000000034,0.007625,True
month OH,0.860039,-0.00019100000000005224,0.005684,0.809553,-0.0003009999999999957,0.007682,False
hour OH,0.860234,4.000000000004e-06,0.005576,0.80954,-0.00031399999999992545,0.007746,False
item counts,0.865028,0.004797999999999969,0.004957,0.833095,0.023241000000000067,0.011224,True
