expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.831095,-,-,0.822348,-,-,-
TW combined counts,0.843036,0.01194099999999998,0.005721,0.870553,0.04820500000000005,0.009459,True
week OH,0.830664,-0.0004310000000000702,0.004256,0.819998,-0.0023499999999999632,0.007783,False
hour OH,0.83054,-0.0005550000000000832,0.005207,0.821082,-0.0012659999999999894,0.007942,False
day OH,0.831249,0.00015399999999998748,0.00529,0.822165,-0.00018299999999993322,0.008185,False
month OH,0.830743,-0.00035200000000001896,0.005291,0.821804,-0.0005439999999999889,0.008247,False
TW total counts,0.833108,0.0020129999999999315,0.006008,0.832489,0.010141000000000067,0.008567,True
part of day OH,0.830974,-0.00012100000000003774,0.00475,0.822116,-0.00023200000000000998,0.008505,False
user average correct,0.831149,5.3999999999998494e-05,0.005662,0.82231,-3.799999999998249e-05,0.00866,False
course,0.831149,5.3999999999998494e-05,0.005662,0.822365,1.7000000000044757e-05,0.008624,False
response pattern,0.831068,-2.6999999999999247e-05,0.005317,0.823538,0.0011900000000000244,0.007776,True
weekend OH,0.831142,4.700000000001925e-05,0.005535,0.822395,4.700000000001925e-05,0.008619,False
bundle,0.831868,0.0007730000000000237,0.006204,0.822916,0.0005680000000000129,0.008395,True
TW item counts,0.843099,0.012004000000000015,0.005801,0.870303,0.04795500000000008,0.008857,True
item counts,0.841465,0.01036999999999999,0.00484,0.864419,0.04207100000000008,0.008565,True
