expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,0.808993,-,-,0.5,-,-,-
week OH,0.80914,0.00014700000000000824,0.009135,0.591524,0.09152400000000005,0.00828,True
part of day OH,0.80914,0.00014700000000000824,0.009135,0.513645,0.013645000000000018,0.004481,True
TW item counts,0.810773,0.0017800000000000038,0.007939,0.682055,0.18205499999999997,0.011057,True
weekend OH,0.80914,0.00014700000000000824,0.009135,0.496378,-0.003622000000000014,0.009374,False
skill counts,0.812133,0.0031400000000000317,0.006731,0.70948,0.20948,0.006919,True
item counts,0.80914,0.00014700000000000824,0.009135,0.680043,0.18004299999999995,0.011248,True
RPFA Failure,0.80914,0.00014700000000000824,0.009135,0.568489,0.06848900000000002,0.013933,True
PPE Count,0.80914,0.00014700000000000824,0.009135,0.632063,0.13206300000000004,0.002908,True
item ID,0.826114,0.017121000000000053,0.009068,0.798049,0.298049,0.013316,True
TW total counts,0.811669,0.0026760000000000117,0.006122,0.618856,0.11885599999999996,0.012468,True
course,0.80914,0.00014700000000000824,0.009135,0.5,0.0,0.0,False
user average correct,0.805488,-0.0035049999999999804,0.008167,0.563744,0.06374400000000002,0.013888,True
total counts,0.811345,0.0023520000000000207,0.006447,0.610582,0.11058199999999996,0.010781,True
RPFA Combined,0.810288,0.0012950000000000461,0.008033,0.705067,0.205067,0.00682,True
hour OH,0.80914,0.00014700000000000824,0.009135,0.514531,0.01453099999999996,0.007002,True
TW skill counts,0.813242,0.004249000000000058,0.007153,0.730597,0.23059700000000005,0.004215,True
RPFA Ratio,0.80914,0.00014700000000000824,0.009135,0.705713,0.20571300000000003,0.007946,True
month OH,0.80914,0.00014700000000000824,0.009135,0.559537,0.05953699999999995,0.018939,True
skill ID,0.80914,0.00014700000000000824,0.009135,0.628173,0.12817299999999998,0.010575,True
TW combined counts,0.816165,0.007172000000000067,0.005235,0.80909,0.30909,0.008301,True
response pattern,0.812988,0.003995000000000082,0.005522,0.587683,0.08768299999999996,0.019542,True
bundle,0.80914,0.00014700000000000824,0.009135,0.646832,0.14683199999999996,0.007104,True
day OH,0.80914,0.00014700000000000824,0.009135,0.499255,-0.0007449999999999957,0.006145,False
combined counts,0.813881,0.0048880000000000035,0.005458,0.775872,0.275872,0.008739,True
