expname,acc_avg,acc_diff,acc_std,auc_avg,auc_diff,auc_std,sig
Baseline,84.37%,-,-,50.00%,-,-,-
item ID,85.85%,1.48%,0.56%,78.41%,28.41%,0.61%,TRUE
non-skill TW combined counts,84.62%,0.24%,0.73%,71.31%,21.31%,0.39%,TRUE
non-skill combined counts,84.55%,0.17%,0.74%,69.41%,19.41%,0.88%,TRUE
TW item counts,84.40%,0.03%,0.62%,63.28%,13.28%,0.51%,TRUE
item counts,84.39%,0.01%,0.63%,62.76%,12.76%,0.72%,TRUE
bundle,84.39%,0.01%,0.63%,61.88%,11.88%,0.44%,TRUE
TW total counts,84.57%,0.20%,0.73%,60.78%,10.78%,0.34%,TRUE
response pattern,84.53%,0.15%,0.78%,59.38%,9.38%,0.63%,TRUE
total counts,84.56%,0.19%,0.73%,58.54%,8.54%,0.25%,TRUE
course,84.39%,0.01%,0.63%,57.44%,7.44%,0.75%,TRUE
user average correct,84.39%,0.01%,0.63%,56.57%,6.57%,0.49%,TRUE
week OH,84.36%,-0.01%,0.63%,53.77%,3.77%,1.04%,FALSE
month OH,84.39%,0.01%,0.63%,53.53%,3.53%,0.80%,FALSE
hour OH,84.39%,0.01%,0.63%,51.28%,1.28%,0.53%,FALSE
part of day OH,84.39%,0.01%,0.63%,50.57%,0.57%,0.46%,FALSE
weekend OH,84.39%,0.01%,0.63%,50.52%,0.52%,0.71%,FALSE
day OH,84.39%,0.01%,0.63%,50.18%,0.18%,0.36%,FALSE
