expname,acc_avg,acc_diff,auc_avg,auc_diff,sig
Baseline,80.90%,-,50.00%,-,-
item ID,82.61%,1.71%,79.80%,29.80%,TRUE
non-skill TW combined counts,81.46%,0.56%,75.69%,25.69%,TRUE
non-skill combined counts,81.15%,0.25%,72.48%,22.48%,TRUE
TW item counts,81.08%,0.18%,68.21%,18.21%,TRUE
item counts,80.91%,0.01%,68.00%,18.00%,TRUE
bundle,80.91%,0.01%,64.68%,14.68%,TRUE
TW total counts,81.17%,0.27%,61.89%,11.89%,TRUE
total counts,81.13%,0.24%,61.06%,11.06%,TRUE
week OH,80.91%,0.01%,59.15%,9.15%,TRUE
response pattern,81.30%,0.40%,58.77%,8.77%,TRUE
user average correct,80.55%,-0.35%,56.37%,6.37%,TRUE
month OH,80.91%,0.01%,55.95%,5.95%,TRUE
hour OH,80.91%,0.01%,51.45%,1.45%,TRUE
part of day OH,80.91%,0.01%,51.36%,1.36%,TRUE
course,80.91%,0.01%,50.00%,0.00%,FALSE
day OH,80.91%,0.01%,49.93%,-0.07%,FALSE
weekend OH,80.91%,0.01%,49.64%,-0.36%,FALSE
